MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1126001058284,15.98,0.07, 3.09776,27.73094,53709.13341,0
1126001058284,15.99,0.07, 3.09771,27.73089,53709.13949,0
1126001058284,15.96,0.07, 3.09770,27.73093,53709.14552,0
1126001058284,15.98,0.07, 3.09765,27.73091,53709.15154,0
1126001058284,16.00,0.07, 3.09772,27.73095,53733.07049,0
1126001058284,16.00,0.07, 3.09768,27.73094,53733.07794,0
1126001058284,15.96,0.07, 3.09773,27.73091,53733.08542,0
1126001058284,15.99,0.07, 3.09776,27.73095,53733.09290,0
1126001058284,15.98,0.07, 3.09769,27.73091,53678.26882,0
1126001058284,16.02,0.07, 3.09774,27.73096,53678.27528,0
1126001058284,15.96,0.07, 3.09770,27.73087,53678.28172,0
1126001058284,15.96,0.07, 3.09764,27.73089,53678.28819,0
1126001058284,16.00,0.07, 3.09772,27.73090,53695.13900,0
1126001058284,16.02,0.07, 3.09778,27.73092,53695.14496,0
1126001058284,16.00,0.07, 3.09768,27.73090,53695.15086,0
1126001058284,15.99,0.07, 3.09775,27.73089,53695.15675,0
1126001058284,16.00,0.07, 3.09767,27.73093,53702.11888,0
1126001058284,16.02,0.07, 3.09773,27.73092,53702.12619,0
1126001058284,16.02,0.07, 3.09761,27.73092,53702.13311,0
1126001058284,16.00,0.07, 3.09781,27.73096,53702.13980,0
1126001058284,15.98,0.07, 3.09773,27.73089,53657.21780,0
1126001058284,16.05,0.07, 3.09773,27.73098,53657.22233,0
1126001058284,16.00,0.07, 3.09775,27.73093,53657.22682,0
1126001058284,16.01,0.07, 3.09775,27.73094,53657.23135,0
1126001058284,16.00,0.07, 3.09776,27.73091,53672.18949,0
1126001058284,16.01,0.07, 3.09772,27.73092,53672.19481,0
1126001058284,16.02,0.07, 3.09772,27.73095,53672.20015,0
1126001058284,15.99,0.07, 3.09764,27.73094,53672.20552,0
1126001058284,16.01,0.07, 3.09775,27.73096,53642.24127,0
1126001058284,15.98,0.07, 3.09775,27.73094,53642.24785,0
1126001058284,15.97,0.07, 3.09777,27.73094,53642.25437,0
1126001058284,15.99,0.07, 3.09772,27.73094,53642.26085,0
1126001058284,15.92,0.12, 3.09779,27.73087,53902.45303,0
1126001058284,15.90,0.12, 3.09759,27.73097,53902.45402,0
1126001058284,15.87,0.11, 3.09780,27.73101,53902.45501,0
1126001058284,15.99,0.12, 3.09773,27.73091,53902.45607,0
1126001058284,15.98,0.07, 3.09770,27.73098,54054.15898,0
1126001058284,15.99,0.07, 3.09757,27.73096,54054.16550,0
1126001058284,16.01,0.07, 3.09772,27.73091,54054.17202,0
1126001058284,15.98,0.07, 3.09770,27.73094,54054.17855,0
1126001058284,15.99,0.07, 3.09771,27.73091,54061.17312,0
1126001058284,15.96,0.07, 3.09764,27.73095,54061.18276,0
1126001058284,16.01,0.07, 3.09770,27.73095,54061.19237,0
1126001058284,15.95,0.07, 3.09769,27.73093,54061.20196,0
1126001058284,16.02,0.07, 3.09777,27.73095,54027.21573,0
1126001058284,15.97,0.06, 3.09767,27.73091,54027.22490,0
1126001058284,16.00,0.07, 3.09775,27.73093,54027.23402,0
1126001058284,15.97,0.06, 3.09775,27.73091,54027.24318,0
1126001058284,16.08,0.07, 3.09772,27.73091,54035.19932,0
1126001058284,16.06,0.07, 3.09773,27.73095,54035.20718,0
1126001058284,16.01,0.07, 3.09776,27.73093,54035.21500,0
1126001058284,16.03,0.07, 3.09777,27.73094,54035.22277,0
1126001058284,16.01,0.07, 3.09770,27.73093,53995.26926,0
1126001058284,16.00,0.07, 3.09764,27.73090,53995.27896,0
1126001058284,16.00,0.07, 3.09772,27.73094,53995.28860,0
1126001058284,15.97,0.06, 3.09765,27.73087,53995.29828,0
1126001058284,15.97,0.09, 3.09780,27.73097,54007.17931,0
1126001058284,16.00,0.09, 3.09774,27.73094,54007.18181,0
1126001058284,16.01,0.09, 3.09761,27.73097,54007.18431,0
1126001058284,15.99,0.09, 3.09773,27.73100,54007.18680,0
1126001058284,16.04,0.07, 3.09776,27.73097,54119.07686,0
1126001058284,16.00,0.07, 3.09769,27.73095,54119.08284,0
